event_name,event_id,competition_name,url
Arsenal vs West Ham United,0048f212-b290-468e-aabd-4588d3c4c066,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/arsenal-vs-west-ham-united/0048f212-b290-468e-aabd-4588d3c4c066
Leeds United vs Tottenham Hotspur,007e0a77-fab6-48c9-9548-5105a700f8aa,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/leeds-united-vs-tottenham-hotspur/007e0a77-fab6-48c9-9548-5105a700f8aa
Everton FC vs Crystal Palace,43fefc6b-5814-431b-a0e4-a16f06701173,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/everton-fc-vs-crystal-palace/43fefc6b-5814-431b-a0e4-a16f06701173
Newcastle United vs Nottingham Forest,572fce90-49e8-4fc0-8b38-6b1a6673f618,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/newcastle-united-vs-nottingham-forest/572fce90-49e8-4fc0-8b38-6b1a6673f618
Manchester United vs Sunderland AFC,6150ca52-2d97-4899-b8e0-fc0a51ab60aa,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/manchester-united-vs-sunderland-afc/6150ca52-2d97-4899-b8e0-fc0a51ab60aa
Wolverhampton Wanderers vs Brighton & Hove Albion,6317366b-105d-4879-8c3f-cb9ed251101f,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/wolverhampton-wanderers-vs-brighton-&-hove-albion/6317366b-105d-4879-8c3f-cb9ed251101f
Aston Villa vs Burnley,952cfe9b-79c0-456e-b4fd-0f2319b0c635,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/aston-villa-vs-burnley/952cfe9b-79c0-456e-b4fd-0f2319b0c635
Chelsea vs Liverpool,aec1ffc0-185f-45fc-b2dd-b2b3ef2abf64,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/chelsea-vs-liverpool/aec1ffc0-185f-45fc-b2dd-b2b3ef2abf64
Brentford vs Manchester City,f694034b-3f0d-45a7-b901-b630a8ce42d2,Premier League,https://www.neds.com.au/sports/soccer/uk-ireland/premier-league/brentford-vs-manchester-city/f694034b-3f0d-45a7-b901-b630a8ce42d2
