match,market_name,home_team,home_win,draw,away_team,away_win,margin,agency
Aston Villa v Bournemouth,Head To Head,Aston Villa,2.25,3.4,Bournemouth,3,1.072,Dabble
Brentford v Newcastle United,Head To Head,Brentford,2.85,3.4,Newcastle United,2.4,1.062,Dabble
Chelsea v Wolverhampton Wanderers,Head To Head,Chelsea,1.38,4.75,Wolverhampton Wanderers,7.5,1.068,Dabble
Crystal Palace v Brighton & Hove Albion,Head To Head,Crystal Palace,2.2,3.4,Brighton & Hove Albion,3.1,1.071,Dabble
Everton v Fulham,Head To Head,Everton,2.3,3.25,Fulham,3.25,1.05,Dabble
Manchester City v Liverpool,Head To Head,Manchester City,1.86,4,Liverpool,3.6,1.065,Dabble
Nottingham Forest v Leeds United,Head To Head,Nottingham Forest,2.3,3.3,Leeds United,3.1,1.06,Dabble
Sunderland v Arsenal,Head To Head,Sunderland,7.5,4.4,Arsenal,1.45,1.05,Dabble
Tottenham Hotspur v Manchester United,Head To Head,Tottenham Hotspur,2.75,3.4,Manchester United,2.45,1.066,Dabble
West Ham United v Burnley,Head To Head,West Ham United,1.9,3.5,Burnley,4,1.062,Dabble
