match,start_time,market_name,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Alexis Mac Allister,Liverpool,Ipswich Town,0.5,4.5,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Alexis Mac Allister,Liverpool,Ipswich Town,1.5,26,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Alexis Mac Allister,Liverpool,Ipswich Town,2.5,201,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ali Al-Hamadi,Ipswich Town,Liverpool,0.5,4,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ali Al-Hamadi,Ipswich Town,Liverpool,1.5,21,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ali Al-Hamadi,Ipswich Town,Liverpool,2.5,151,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Andrew Robertson,Liverpool,Ipswich Town,0.5,9,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Andrew Robertson,Liverpool,Ipswich Town,1.5,101,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Andrew Robertson,Liverpool,Ipswich Town,2.5,401,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Axel Tuanzebe,Ipswich Town,Liverpool,0.5,17,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Axel Tuanzebe,Ipswich Town,Liverpool,1.5,401,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Axel Tuanzebe,Ipswich Town,Liverpool,2.5,401,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ben Doak,Liverpool,Ipswich Town,0.5,2.6,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ben Doak,Liverpool,Ipswich Town,1.5,11,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ben Doak,Liverpool,Ipswich Town,2.5,51,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ben Johnson,Ipswich Town,Liverpool,0.5,13,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ben Johnson,Ipswich Town,Liverpool,1.5,201,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Ben Johnson,Ipswich Town,Liverpool,2.5,401,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cameron Burgess,Ipswich Town,Liverpool,0.5,17,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cameron Burgess,Ipswich Town,Liverpool,1.5,301,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cameron Burgess,Ipswich Town,Liverpool,2.5,401,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cameron Humphreys,Ipswich Town,Liverpool,0.5,13,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cameron Humphreys,Ipswich Town,Liverpool,1.5,201,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cameron Humphreys,Ipswich Town,Liverpool,2.5,401,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cody Gakpo,Liverpool,Ipswich Town,0.5,2,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cody Gakpo,Liverpool,Ipswich Town,1.5,6.5,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Cody Gakpo,Liverpool,Ipswich Town,2.5,21,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Conor Bradley,Liverpool,Ipswich Town,0.5,5.5,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Conor Bradley,Liverpool,Ipswich Town,1.5,51,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Conor Bradley,Liverpool,Ipswich Town,2.5,301,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Conor Chaplin,Ipswich Town,Liverpool,0.5,4.5,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Conor Chaplin,Ipswich Town,Liverpool,1.5,26,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Player Goals,Ipswich Town,Liverpool,Conor Chaplin,Ipswich Town,Liverpool,2.5,201,TAB
