match,start_time,market_name,home_team,away_team,line,over_price,under_price,margin,agency
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Match Goals,Ipswich Town,Liverpool,0.5,1.01,17,1.049,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Match Goals,Ipswich Town,Liverpool,1.5,1.11,6,1.068,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Match Goals,Ipswich Town,Liverpool,2.5,1.38,2.9,1.069,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Match Goals,Ipswich Town,Liverpool,3.5,2,1.75,1.071,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Match Goals,Ipswich Town,Liverpool,4.5,3.2,1.32,1.07,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Match Goals,Ipswich Town,Liverpool,5.5,6,1.11,1.068,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Match Goals,Ipswich Town,Liverpool,6.5,10,1.03,1.071,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Match Goals,Arsenal,Wolverhampton Wanderers,0.5,1.01,16,1.053,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Match Goals,Arsenal,Wolverhampton Wanderers,1.5,1.11,6,1.068,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Match Goals,Arsenal,Wolverhampton Wanderers,2.5,1.44,2.7,1.065,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Match Goals,Arsenal,Wolverhampton Wanderers,3.5,2.1,1.68,1.071,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Match Goals,Arsenal,Wolverhampton Wanderers,4.5,3.5,1.28,1.067,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Match Goals,Arsenal,Wolverhampton Wanderers,5.5,6.5,1.09,1.071,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Match Goals,Arsenal,Wolverhampton Wanderers,6.5,11,1.02,1.071,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Match Goals,Everton,Brighton & Hove Albion,0.5,1.04,9,1.073,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Match Goals,Everton,Brighton & Hove Albion,1.5,1.26,3.6,1.071,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Match Goals,Everton,Brighton & Hove Albion,2.5,1.8,1.95,1.068,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Match Goals,Everton,Brighton & Hove Albion,3.5,2.9,1.38,1.069,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Match Goals,Everton,Brighton & Hove Albion,4.5,5.5,1.13,1.067,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Match Goals,Everton,Brighton & Hove Albion,5.5,10,1.03,1.071,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Match Goals,Newcastle United,Southampton,0.5,0,17,Inf,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Match Goals,Newcastle United,Southampton,1.5,1.11,6,1.068,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Match Goals,Newcastle United,Southampton,2.5,1.38,2.9,1.069,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Match Goals,Newcastle United,Southampton,3.5,2,1.75,1.071,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Match Goals,Newcastle United,Southampton,4.5,3.2,1.32,1.07,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Match Goals,Newcastle United,Southampton,5.5,6,1.11,1.068,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Match Goals,Newcastle United,Southampton,6.5,10,1.03,1.071,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Match Goals,Nottingham Forest,Bournemouth,0.5,1.03,10,1.071,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Match Goals,Nottingham Forest,Bournemouth,1.5,1.26,3.6,1.071,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Match Goals,Nottingham Forest,Bournemouth,2.5,1.8,1.95,1.068,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Match Goals,Nottingham Forest,Bournemouth,3.5,3,1.36,1.069,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Match Goals,Nottingham Forest,Bournemouth,4.5,5.5,1.13,1.067,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Match Goals,Nottingham Forest,Bournemouth,5.5,10,1.03,1.071,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Match Goals,West Ham United,Aston Villa,0.5,1.01,15,1.057,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Match Goals,West Ham United,Aston Villa,1.5,1.16,4.8,1.07,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Match Goals,West Ham United,Aston Villa,2.5,1.52,2.4,1.075,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Match Goals,West Ham United,Aston Villa,3.5,2.3,1.58,1.068,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Match Goals,West Ham United,Aston Villa,4.5,4,1.22,1.07,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Match Goals,West Ham United,Aston Villa,5.5,7.5,1.07,1.068,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Match Goals,West Ham United,Aston Villa,6.5,15,1.01,1.057,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Match Goals,Brentford,Crystal Palace,0.5,1.04,9,1.073,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Match Goals,Brentford,Crystal Palace,1.5,1.26,3.6,1.071,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Match Goals,Brentford,Crystal Palace,2.5,1.8,1.95,1.068,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Match Goals,Brentford,Crystal Palace,3.5,2.9,1.38,1.069,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Match Goals,Brentford,Crystal Palace,4.5,5.5,1.13,1.067,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Match Goals,Brentford,Crystal Palace,5.5,10,1.03,1.071,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Match Goals,Chelsea,Manchester City,0.5,1.01,15,1.057,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Match Goals,Chelsea,Manchester City,1.5,1.16,4.8,1.07,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Match Goals,Chelsea,Manchester City,2.5,1.52,2.4,1.075,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Match Goals,Chelsea,Manchester City,3.5,2.3,1.58,1.068,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Match Goals,Chelsea,Manchester City,4.5,3.8,1.24,1.07,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Match Goals,Chelsea,Manchester City,5.5,7,1.08,1.069,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Match Goals,Chelsea,Manchester City,6.5,15,1.01,1.057,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Match Goals,Leicester City,Tottenham Hotspur,0.5,1.01,15,1.057,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Match Goals,Leicester City,Tottenham Hotspur,1.5,1.15,5,1.07,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Match Goals,Leicester City,Tottenham Hotspur,2.5,1.5,2.5,1.067,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Match Goals,Leicester City,Tottenham Hotspur,3.5,2.25,1.6,1.069,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Match Goals,Leicester City,Tottenham Hotspur,4.5,3.8,1.24,1.07,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Match Goals,Leicester City,Tottenham Hotspur,5.5,7,1.08,1.069,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Match Goals,Leicester City,Tottenham Hotspur,6.5,15,1.01,1.057,TAB
