match,start_time,market_name,home_team,home_win,draw,away_team,away_win,margin,agency
Man United v Fulham,2024-08-16T19:00:00.000Z,Result,Man United,1.55,4.5,Fulham,5,1.067,TAB
Ipswich v Liverpool,2024-08-17T11:30:00.000Z,Result,Ipswich,8,5.5,Liverpool,1.32,1.064,TAB
Arsenal v Wolverhampton,2024-08-17T14:00:00.000Z,Result,Arsenal,1.18,7,Wolverhampton,15,1.057,TAB
Everton v Brighton HoveAlb,2024-08-17T14:00:00.000Z,Result,Everton,2.6,3.4,Brighton HoveAlb,2.6,1.063,TAB
Newcastle v Southampton,2024-08-17T14:00:00.000Z,Result,Newcastle,1.32,5.5,Southampton,8,1.064,TAB
Nottinghm Forest v Bournemouth,2024-08-17T14:00:00.000Z,Result,Nottinghm Forest,2.4,3.4,Bournemouth,2.8,1.068,TAB
West Ham v Aston Villa,2024-08-17T16:30:00.000Z,Result,West Ham,2.4,3.6,Aston Villa,2.7,1.065,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Result,Brentford,2.4,3.4,Crystal Palace,2.8,1.068,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Result,Chelsea,3.9,3.9,Manchester City,1.8,1.068,TAB
Leicester v Tottenham,2024-08-19T19:00:00.000Z,Result,Leicester,5,4.25,Tottenham,1.6,1.06,TAB
