match,start_time,market_name,home_team,away_team,team,line,over_price,under_price,margin,agency
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Team Total Goals O/U,Ipswich Town,Liverpool,Ipswich Town,0.5,1.55,2.35,1.071,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Team Total Goals O/U,Ipswich Town,Liverpool,Ipswich Town,1.5,3.8,1.24,1.07,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Team Total Goals O/U,Ipswich Town,Liverpool,Ipswich Town,2.5,10,1.03,1.071,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Team Total Goals O/U,Ipswich Town,Liverpool,Liverpool,1.5,1.28,3.5,1.067,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Team Total Goals O/U,Ipswich Town,Liverpool,Liverpool,2.5,1.95,1.8,1.068,TAB
Ipswich Town v Liverpool,2024-08-17T11:30:00.000Z,Team Total Goals O/U,Ipswich Town,Liverpool,Liverpool,3.5,3.5,1.28,1.067,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Arsenal,Wolverhampton Wanderers,Arsenal,1.5,1.22,4,1.07,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Arsenal,Wolverhampton Wanderers,Arsenal,2.5,1.75,2,1.071,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Arsenal,Wolverhampton Wanderers,Arsenal,3.5,3.1,1.34,1.069,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Arsenal,Wolverhampton Wanderers,Wolverhampton Wanderers,0.5,2,1.75,1.071,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Arsenal,Wolverhampton Wanderers,Wolverhampton Wanderers,1.5,6,1.11,1.068,TAB
Arsenal v Wolverhampton Wanderers,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Arsenal,Wolverhampton Wanderers,Wolverhampton Wanderers,2.5,21,0,Inf,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Everton,Brighton & Hove Albion,Brighton & Hove Albion,0.5,1.26,3.6,1.071,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Everton,Brighton & Hove Albion,Brighton & Hove Albion,1.5,2.25,1.6,1.069,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Everton,Brighton & Hove Albion,Brighton & Hove Albion,2.5,5,1.15,1.07,TAB
