match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Manuel Ugarte,Manchester United,Arsenal,0.5,3.05,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Ayden Heaven,Manchester United,Arsenal,0.5,5.6,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Christian N<c3><b8>rgaard,NA,NA,0.5,2.9,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Riccardo Calafiori,Arsenal,Manchester United,0.5,4.8,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Rasmus Hojlund,NA,NA,0.5,1.5699999999999998,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Jakub Kiwior,Arsenal,Manchester United,0.5,5.2,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Ethan Nwaneri,Arsenal,Manchester United,0.5,1.46,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Oleksandr Zinchenko,Arsenal,Manchester United,0.5,3.05,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Gabriel Martinelli,Arsenal,Manchester United,0.5,1.6,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Bryan Mbeumo,Manchester United,Arsenal,0.5,1.78,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Jurrien Timber,Arsenal,Manchester United,0.5,5.2,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Matheus Cunha,Manchester United,Arsenal,0.5,1.48,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Kai Havertz,Arsenal,Manchester United,0.5,1.26,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Mason Mount,Manchester United,Arsenal,0.5,2.4,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Casemiro,Manchester United,Arsenal,0.5,3.15,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,William Saliba,Arsenal,Manchester United,0.5,5.25,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Leny Yoro,Manchester United,Arsenal,0.5,5.6,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Max Dowman,NA,NA,0.5,1.53,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Joshua Zirkzee,Manchester United,Arsenal,0.5,1.65,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Martin <c3><98>degaard,NA,NA,0.5,1.96,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Bruno Fernandes,Manchester United,Arsenal,0.5,1.7,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Leandro Trossard,Arsenal,Manchester United,0.5,1.4,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Harry Maguire,Manchester United,Arsenal,0.5,5.6,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Gabriel Magalh<c3><a3>es,NA,NA,0.5,2.55,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Diogo Dalot,Manchester United,Arsenal,0.5,5,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Mikel Merino,Arsenal,Manchester United,0.5,1.42,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Kobbie Mainoo,Manchester United,Arsenal,0.5,2.4,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Luke Shaw,Manchester United,Arsenal,0.5,5.75,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Ben White,Arsenal,Manchester United,0.5,5,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Chido Obi-Martin,NA,NA,0.5,1.6,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Albert-Mboyo Sambi Lokonga,NA,NA,0.5,2.75,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Toby Collyer,NA,NA,0.5,3.3,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Patrick Dorgu,Manchester United,Arsenal,0.5,3.05,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Viktor Gyokeres,NA,NA,0.5,1.16,Neds
Manchester United v Arsenal,Manchester United,Arsenal,Player Shots On Target,Benjamin Sesko,Manchester United,Arsenal,0.5,1.4,Neds
