match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Alexander Isak,Newcastle United,Arsenal,0.5,1.45,Sportsbet,49,289,12866487,461455149,2232396399
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Anthony Gordon,Newcastle United,Arsenal,0.5,1.83,Sportsbet,49,289,12866487,461455149,2232396607
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Harvey Barnes,Newcastle United,Arsenal,0.5,1.72,Sportsbet,49,289,12866487,461455149,2232396401
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,William Osula,Newcastle United,Arsenal,0.5,1.53,Sportsbet,49,289,12866487,461455149,2232396610
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Bruno Guimarães,Newcastle United,Arsenal,0.5,2.88,Sportsbet,49,289,12866487,461455149,2232396606
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Jacob Murphy,Newcastle United,Arsenal,0.5,2.3,Sportsbet,49,289,12866487,461455149,2232396397
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Joe Willock,Newcastle United,Arsenal,0.5,2.3,Sportsbet,49,289,12866487,461455149,2232396604
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Joelinton,Newcastle United,Arsenal,0.5,2.4,Sportsbet,49,289,12866487,461455149,2232396400
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Miguel Almirón,Newcastle United,Arsenal,0.5,2,Sportsbet,49,289,12866487,461455149,2232396398
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Fabian Schär,Newcastle United,Arsenal,0.5,3.6,Sportsbet,49,289,12866487,461455149,2232396395
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Lewis Hall,Newcastle United,Arsenal,0.5,3.75,Sportsbet,49,289,12866487,461455149,2232396611
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Lewis Miley,Newcastle United,Arsenal,0.5,3.1,Sportsbet,49,289,12866487,461455149,2232396613
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Sandro Tonali,Newcastle United,Arsenal,0.5,3,Sportsbet,49,289,12866487,461455149,2232396605
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Sean Longstaff,Newcastle United,Arsenal,0.5,3.1,Sportsbet,49,289,12866487,461455149,2232396603
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Alex Murphy,Newcastle United,Arsenal,0.5,5.5,Sportsbet,49,289,12866487,461455149,2232396612
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Dan Burn,Newcastle United,Arsenal,0.5,5,Sportsbet,49,289,12866487,461455149,2232396396
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Harrison Ashby,NA,NA,0.5,5,Sportsbet,49,289,12866487,461455149,2232396608
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Emil Krafth,Newcastle United,Arsenal,0.5,6,Sportsbet,49,289,12866487,461455149,2232396394
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Lloyd Kelly,Newcastle United,Arsenal,0.5,6.5,Sportsbet,49,289,12866487,461455149,2232396402
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Tino Livramento,Newcastle United,Arsenal,0.5,7,Sportsbet,49,289,12866487,461455149,2232396609
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Bukayo Saka,Arsenal,Newcastle United,0.5,1.36,Sportsbet,49,289,12866487,461455149,2232396627
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Ethan Nwaneri,Arsenal,Newcastle United,0.5,1.5,Sportsbet,49,289,12866487,461455149,2232396632
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Gabriel Jesus,Arsenal,Newcastle United,0.5,1.3,Sportsbet,49,289,12866487,461455149,2232396621
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Gabriel Martinelli,Arsenal,Newcastle United,0.5,1.45,Sportsbet,49,289,12866487,461455149,2232396629
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Kai Havertz,Arsenal,Newcastle United,0.5,1.45,Sportsbet,49,289,12866487,461455149,2232396624
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Leandro Trossard,Arsenal,Newcastle United,0.5,1.45,Sportsbet,49,289,12866487,461455149,2232396615
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Raheem Sterling,Arsenal,Newcastle United,0.5,1.4,Sportsbet,49,289,12866487,461455149,2232396614
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Declan Rice,Arsenal,Newcastle United,0.5,2.4,Sportsbet,49,289,12866487,461455149,2232396623
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Gabriel Magalhães,Arsenal,Newcastle United,0.5,2.88,Sportsbet,49,289,12866487,461455149,2232396625
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Mikel Merino,Arsenal,Newcastle United,0.5,2.2,Sportsbet,49,289,12866487,461455149,2232396619
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Jakub Kiwior,Arsenal,Newcastle United,0.5,3.5,Sportsbet,49,289,12866487,461455149,2232396631
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Jorginho,Arsenal,Newcastle United,0.5,3,Sportsbet,49,289,12866487,461455149,2232396616
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Jurrien Timber,Arsenal,Newcastle United,0.5,3.75,Sportsbet,49,289,12866487,461455149,2232396628
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Myles Lewis-Skelly,NA,NA,0.5,3.2,Sportsbet,49,289,12866487,461455149,2232396635
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Oleksandr Zinchenko,Arsenal,Newcastle United,0.5,3.3,Sportsbet,49,289,12866487,461455149,2232396620
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Thomas Partey,Arsenal,Newcastle United,0.5,3.6,Sportsbet,49,289,12866487,461455149,2232396617
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Josh Nichols,NA,NA,0.5,4.5,Sportsbet,49,289,12866487,461455149,2232396634
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Maldini Kacurri,NA,NA,0.5,4,Sportsbet,49,289,12866487,461455149,2232396633
Newcastle United v Arsenal,Newcastle United,Arsenal,Player Shots On Target,Ben White,Arsenal,Newcastle United,0.5,5.5,Sportsbet,49,289,12866487,461455149,2232396622
