match,home_team,away_team,market_name,team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Aston Villa v Bournemouth,Aston Villa,Bournemouth,Team Shots On Target,Bournemouth,4.5,2.25,Sportsbet,49,289,12804254,460114823,2226736487
Aston Villa v Bournemouth,Aston Villa,Bournemouth,Team Shots On Target,Aston Villa,5.5,2.4,Sportsbet,49,289,12804254,460114831,2226736502
Aston Villa v Bournemouth,Aston Villa,Bournemouth,Team Shots On Target,Bournemouth,5.5,3.5,Sportsbet,49,289,12804254,460114831,2226736503
Aston Villa v Bournemouth,Aston Villa,Bournemouth,Team Shots On Target,Aston Villa,6.5,3.6,Sportsbet,49,289,12804254,460114838,2226736516
Aston Villa v Bournemouth,Aston Villa,Bournemouth,Team Shots On Target,Bournemouth,6.5,5.5,Sportsbet,49,289,12804254,460114838,2226736517
Aston Villa v Bournemouth,Aston Villa,Bournemouth,Team Shots On Target,Aston Villa,7.5,5.5,Sportsbet,49,289,12804254,460114845,2226736530
Aston Villa v Bournemouth,Aston Villa,Bournemouth,Team Shots On Target,Bournemouth,7.5,9.5,Sportsbet,49,289,12804254,460114845,2226736531
Everton v Fulham,Everton,Fulham,Team Shots On Target,Everton,2.5,1.14,Sportsbet,49,289,12804231,460108872,2226714249
Everton v Fulham,Everton,Fulham,Team Shots On Target,Fulham,2.5,1.12,Sportsbet,49,289,12804231,460108872,2226714250
Everton v Fulham,Everton,Fulham,Team Shots On Target,Everton,3.5,1.45,Sportsbet,49,289,12804231,460108874,2226714253
Everton v Fulham,Everton,Fulham,Team Shots On Target,Fulham,3.5,1.4,Sportsbet,49,289,12804231,460108874,2226714254
Everton v Fulham,Everton,Fulham,Team Shots On Target,Everton,4.5,2,Sportsbet,49,289,12804231,460108886,2226714277
Everton v Fulham,Everton,Fulham,Team Shots On Target,Fulham,4.5,1.91,Sportsbet,49,289,12804231,460108886,2226714278
Everton v Fulham,Everton,Fulham,Team Shots On Target,Everton,5.5,3.1,Sportsbet,49,289,12804231,460108888,2226714281
Everton v Fulham,Everton,Fulham,Team Shots On Target,Fulham,5.5,3,Sportsbet,49,289,12804231,460108888,2226714282
Everton v Fulham,Everton,Fulham,Team Shots On Target,Everton,6.5,4.5,Sportsbet,49,289,12804231,460108890,2226714285
Everton v Fulham,Everton,Fulham,Team Shots On Target,Fulham,6.5,4.5,Sportsbet,49,289,12804231,460108890,2226714286
Everton v Fulham,Everton,Fulham,Team Shots On Target,Everton,7.5,8,Sportsbet,49,289,12804231,460108892,2226714289
Everton v Fulham,Everton,Fulham,Team Shots On Target,Fulham,7.5,7.5,Sportsbet,49,289,12804231,460108892,2226714290
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,2.5,1.12,Sportsbet,49,289,12804247,460110332,2226720533
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,3.5,1.14,Sportsbet,49,289,12804247,460110297,2226720542
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,3.5,1.36,Sportsbet,49,289,12804247,460110297,2226720543
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,4.5,1.36,Sportsbet,49,289,12804247,460110304,2226720556
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,4.5,1.91,Sportsbet,49,289,12804247,460110304,2226720557
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,5.5,1.8,Sportsbet,49,289,12804247,460110306,2226720560
