match,home_team,away_team,market_name,yes_price,no_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
West Ham United v Everton,West Ham United,Everton,Both Teams to Score,1.62,2.25,Sportsbet,49,289,12899874,460825233,2229765571,2229765572
Crystal Palace v Fulham,Crystal Palace,Fulham,Both Teams to Score,1.72,2.1,Sportsbet,49,289,12899890,460825982,2229768498,2229768499
Brentford v Bournemouth,Brentford,Bournemouth,Both Teams to Score,1.45,2.7,Sportsbet,49,289,12899906,460826359,2229769591,2229769592
Wolverhampton Wanderers v Southampton,Wolverhampton Wanderers,Southampton,Both Teams to Score,1.57,2.3,Sportsbet,49,289,12899937,460828910,2229780073,2229780074
Brighton & Hove Albion v Manchester City,Brighton & Hove Albion,Manchester City,Both Teams to Score,1.45,2.63,Sportsbet,49,289,12899907,460826850,2229773249,2229773250
Liverpool v Aston Villa,Liverpool,Aston Villa,Both Teams to Score,1.72,2.1,Sportsbet,49,289,12899936,460828771,2229778751,2229778752
Manchester United v Leicester City,Manchester United,Leicester City,Both Teams to Score,1.62,2.25,Sportsbet,49,289,12899910,460827817,2229775929,2229775930
Tottenham Hotspur v Ipswich Town,Tottenham Hotspur,Ipswich Town,Both Teams to Score,1.53,2.4,Sportsbet,49,289,12899934,460828322,2229777999,2229778000
Nottingham Forest v Newcastle United,Nottingham Forest,Newcastle United,Both Teams to Score,1.67,2.1,Sportsbet,49,289,12899939,460829142,2229780789,2229780790
Chelsea v Arsenal,Chelsea,Arsenal,Both Teams to Score,1.57,2.37,Sportsbet,49,289,12899942,460829577,2229782358,2229782359
Leicester City v Chelsea,Leicester City,Chelsea,Both Teams to Score,1.53,2.4,Sportsbet,49,289,12931176,462078632,2235061942,2235061943
Everton v Brentford,Everton,Brentford,Both Teams to Score,1.53,2.4,Sportsbet,49,289,12931191,462080353,2235068587,2235068588
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Both Teams to Score,2,1.72,Sportsbet,49,289,12931196,462080726,2235069830,2235069831
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Both Teams to Score,1.67,2.2,Sportsbet,49,289,12931197,462081175,2235070996,2235070997
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Both Teams to Score,1.45,2.63,Sportsbet,49,289,12931213,462082821,2235078102,2235078103
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Both Teams to Score,1.67,2.1,Sportsbet,49,289,12931215,462083157,2235079026,2235079027
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Both Teams to Score,1.4,2.8,Sportsbet,49,289,12931200,462081874,2235073860,2235073861
Southampton v Liverpool,Southampton,Liverpool,Both Teams to Score,1.67,2.1,Sportsbet,49,289,12931181,462079311,2235065063,2235065064
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Both Teams to Score,1.5,2.5,Sportsbet,49,289,12931201,462081789,2235072966,2235072967
Newcastle United v West Ham United,Newcastle United,West Ham United,Both Teams to Score,1.62,2.25,Sportsbet,49,289,12931212,462082702,2235077288,2235077289
