match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Evanilson,Bournemouth,Arsenal,2.5,126,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Remy Rees-Dottin,Bournemouth,Arsenal,2.5,201,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Declan Rice,Arsenal,Bournemouth,2.5,201,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Eberechi Eze,Crystal Palace,Bournemouth,2.5,61,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Martin <c3><98>degaard,NA,NA,2.5,151,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Gabriel Martinelli,Arsenal,Bournemouth,2.5,81,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Mikel Merino,Arsenal,Bournemouth,2.5,91,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Noni Madueke,Arsenal,Bournemouth,2.5,81,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Gabriel Jesus,Arsenal,Bournemouth,2.5,61,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Andre Harriman-Annous,NA,NA,2.5,71,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Antoine Semenyo,Bournemouth,Arsenal,2.5,101,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Eli Junior Kroupi,NA,NA,2.5,71,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Ethan Nwaneri,Arsenal,Bournemouth,2.5,151,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Viktor Gyokeres,NA,NA,2.5,51,Neds
Bournemouth v Arsenal,Bournemouth,Arsenal,Player Goals,Leandro Trossard,Arsenal,Bournemouth,2.5,51,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Braiden Graham,NA,NA,2.5,126,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Jack Grealish,Everton,Brentford,2.5,201,Neds
