home_team,away_team,market_name,player_name,line,over_price,under_price,agency,match
West Ham United,Chelsea,Player Fouls,Lucas Paquet<c3><a1>,2,1.8,1.8,Dabble,West Ham United v Chelsea
West Ham United,Chelsea,Player Fouls,James Ward-Prowse,1,1.8,1.8,Dabble,West Ham United v Chelsea
West Ham United,Chelsea,Player Fouls,Guido Rodr<c3><ad>guez,1,1.8,1.8,Dabble,West Ham United v Chelsea
West Ham United,Chelsea,Player Fouls,Mois<c3><a9>s Caicedo,1.5,1.8,1.8,Dabble,West Ham United v Chelsea
West Ham United,Chelsea,Player Fouls,Trevoh Chalobah,1,1.8,1.8,Dabble,West Ham United v Chelsea
West Ham United,Chelsea,Player Fouls,Tosin Adarabioyo,1,1.8,1.8,Dabble,West Ham United v Chelsea
Manchester City,Tottenham Hotspur,Player Fouls,Pape Matar Sarr,1.5,1.8,1.8,Dabble,Manchester City v Tottenham Hotspur
Manchester City,Tottenham Hotspur,Player Fouls,Cristian Romero,1.5,1.8,1.8,Dabble,Manchester City v Tottenham Hotspur
Manchester City,Tottenham Hotspur,Player Fouls,Rayan Ait Nouri,1,1.8,1.8,Dabble,Manchester City v Tottenham Hotspur
Manchester City,Tottenham Hotspur,Player Fouls,Rico Lewis,1,1.8,1.8,Dabble,Manchester City v Tottenham Hotspur
Manchester City,Tottenham Hotspur,Player Fouls,John Stones,0.5,1.8,1.8,Dabble,Manchester City v Tottenham Hotspur
Manchester City,Tottenham Hotspur,Player Fouls,Rodrigo Bentancur,2,1.8,1.8,Dabble,Manchester City v Tottenham Hotspur
Burnley,Sunderland,Player Fouls,Hannibal Mejbri,2,1.8,1.8,Dabble,Burnley v Sunderland
Burnley,Sunderland,Player Fouls,Hjalmar Ekdal,1,1.8,1.8,Dabble,Burnley v Sunderland
Burnley,Sunderland,Player Fouls,Trai Hume,1.5,1.8,1.8,Dabble,Burnley v Sunderland
Burnley,Sunderland,Player Fouls,Granit Xhaka,1.5,1.8,1.8,Dabble,Burnley v Sunderland
Bournemouth,Wolverhampton Wanderers,Player Fouls,Adrien Truffert,1,1.8,1.8,Dabble,Bournemouth v Wolverhampton Wanderers
Bournemouth,Wolverhampton Wanderers,Player Fouls,Alex Scott,1.5,1.8,1.8,Dabble,Bournemouth v Wolverhampton Wanderers
Bournemouth,Wolverhampton Wanderers,Player Fouls,Andre,1,1.8,1.8,Dabble,Bournemouth v Wolverhampton Wanderers
Bournemouth,Wolverhampton Wanderers,Player Fouls,Matt Doherty,1,1.8,1.8,Dabble,Bournemouth v Wolverhampton Wanderers
Brentford,Aston Villa,Player Fouls,Rico Henry,1,1.8,1.8,Dabble,Brentford v Aston Villa
Brentford,Aston Villa,Player Fouls,Amadou Onana,1.5,1.8,1.8,Dabble,Brentford v Aston Villa
Brentford,Aston Villa,Player Fouls,Nathan Collins,0.5,1.8,1.8,Dabble,Brentford v Aston Villa
Brentford,Aston Villa,Player Fouls,John McGinn,1.5,1.8,1.8,Dabble,Brentford v Aston Villa
