match,market_name,home_team,away_team,line,over_price,under_price,margin,agency
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,1.5,1.29,3.4,1.07,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,6.5,19,NA,NA,Neds
Aston Villa v Wolverhampton Wanderers,Total Goals,Aston Villa,Wolverhampton Wanderers,1.5,1.25,3.6,1.08,Neds
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,3.5,3.25,1.3,1.08,Neds
Brentford v Burnley,Total Goals,Brentford,Burnley,1.5,1.25,3.75,1.07,Neds
Everton v Newcastle United,Total Goals,Everton,Newcastle United,1.5,1.3,3.25,1.08,Neds
West Ham United v Liverpool,Total Goals,West Ham United,Liverpool,2.5,1.5,2.45,1.07,Neds
Sunderland AFC v Bournemouth,Total Goals,Sunderland AFC,Bournemouth,1.5,1.3,3.25,1.08,Neds
Tottenham Hotspur v Fulham,Total Goals,Tottenham Hotspur,Fulham,6.5,21,NA,NA,Neds
Everton v Newcastle United,Total Goals,Everton,Newcastle United,6.5,23,NA,NA,Neds
Crystal Palace v Manchester United,Total Goals,Crystal Palace,Manchester United,6.5,17,NA,NA,Neds
Manchester City v Leeds United,Total Goals,Manchester City,Leeds United,6.5,11,1.03,1.06,Neds
