match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sean Longstaff,NA,NA,0.5,8.5,Sportsbet,49,289,15192634,557277947,2659626991
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,James Justin,Leicester City,Aston Villa,0.5,10,Sportsbet,49,289,15192634,557277947,2659626983
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jayden Bogle,NA,NA,0.5,10,Sportsbet,49,289,15192634,557277947,2659626984
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Pascal Struijk,NA,NA,0.5,10,Sportsbet,49,289,15192634,557277947,2659626989
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Joe Rodon,NA,NA,0.5,13,Sportsbet,49,289,15192634,557277947,2659626986
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jaka Bijol,NA,NA,0.5,14,Sportsbet,49,289,15192634,557277947,2659626982
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sebastiaan Bornauw,NA,NA,0.5,14,Sportsbet,49,289,15192634,557277947,2659626992
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Gabriel Gudmundsson,NA,NA,0.5,15,Sportsbet,49,289,15192634,557277947,2659626980
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ilia Gruev,NA,NA,0.5,15,Sportsbet,49,289,15192634,557277947,2659626981
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ethan Ampadu,NA,NA,0.5,20,Sportsbet,49,289,15192634,557277947,2659626978
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sam Byram,NA,NA,0.5,20,Sportsbet,49,289,15192634,557277947,2659626990
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ollie Watkins,Aston Villa,Leeds United,1.5,7.5,Sportsbet,49,289,15192634,557277943,2659626749
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Tammy Abraham,NA,NA,1.5,9,Sportsbet,49,289,15192634,557277943,2659626752
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Morgan Rogers,Aston Villa,Leeds United,1.5,11,Sportsbet,49,289,15192634,557277943,2659626748
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Harvey Elliott,Liverpool,Aston Villa,1.5,20,Sportsbet,49,289,15192634,557277943,2659626740
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Harvey Elliott,Aston Villa,Leeds United,1.5,20,Sportsbet,49,289,15192634,557277943,2659626740
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Leon Bailey,Aston Villa,Leeds United,1.5,20,Sportsbet,49,289,15192634,557277943,2659626744
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Emiliano Buend<c3><ad>a,NA,NA,1.5,21,Sportsbet,49,289,15192634,557277943,2659626737
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Alysson Edward,NA,NA,1.5,26,Sportsbet,49,289,15192634,557277943,2659626733
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jadon Sancho,Aston Villa,Leeds United,1.5,26,Sportsbet,49,289,15192634,557277943,2659626742
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ross Barkley,Aston Villa,Leeds United,1.5,26,Sportsbet,49,289,15192634,557277943,2659626751
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Douglas Luiz,Nottingham Forest,Aston Villa,1.5,31,Sportsbet,49,289,15192634,557277943,2659626736
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Amadou Onana,Aston Villa,Leeds United,1.5,36,Sportsbet,49,289,15192634,557277943,2659626734
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Matty Cash,Aston Villa,Leeds United,1.5,76,Sportsbet,49,289,15192634,557277943,2659626746
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ian Maatsen,Aston Villa,Leeds United,1.5,101,Sportsbet,49,289,15192634,557277943,2659626741
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,George Hemmings,Aston Villa,Leeds United,1.5,126,Sportsbet,49,289,15192634,557277943,2659626739
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Lamare Bogarde,Aston Villa,Leeds United,1.5,126,Sportsbet,49,289,15192634,557277943,2659626743
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Andres Garcia,NA,NA,1.5,151,Sportsbet,49,289,15192634,557277943,2659626735
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Mohamed Kone,NA,NA,1.5,151,Sportsbet,49,289,15192634,557277943,2659626747
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ezri Konsa,Aston Villa,Leeds United,1.5,201,Sportsbet,49,289,15192634,557277943,2659626738
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Lucas Digne,Aston Villa,Leeds United,1.5,201,Sportsbet,49,289,15192634,557277943,2659626745
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Pau Torres,Aston Villa,Leeds United,1.5,201,Sportsbet,49,289,15192634,557277943,2659626750
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Tyrone Mings,Aston Villa,Leeds United,1.5,201,Sportsbet,49,289,15192634,557277943,2659626753
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Victor Lindelof,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626754
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Dominic Calvert-Lewin,NA,NA,1.5,13,Sportsbet,49,289,15192634,557277943,2659626759
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Lukas Nmecha,NA,NA,1.5,19,Sportsbet,49,289,15192634,557277943,2659626769
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Joel Piroe,NA,NA,1.5,20,Sportsbet,49,289,15192634,557277943,2659626767
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Brenden Aaronson,NA,NA,1.5,26,Sportsbet,49,289,15192634,557277943,2659626757
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Daniel James,NA,NA,1.5,26,Sportsbet,49,289,15192634,557277943,2659626758
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Noah Okafor,NA,NA,1.5,26,Sportsbet,49,289,15192634,557277943,2659626770
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Facundo Buonanotte,Chelsea,Aston Villa,1.5,31,Sportsbet,49,289,15192634,557277943,2659626761
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Wilfried Gnonto,NA,NA,1.5,31,Sportsbet,49,289,15192634,557277943,2659626775
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Anton Stach,NA,NA,1.5,91,Sportsbet,49,289,15192634,557277943,2659626755
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ao Tanaka,NA,NA,1.5,101,Sportsbet,49,289,15192634,557277943,2659626756
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sean Longstaff,NA,NA,1.5,101,Sportsbet,49,289,15192634,557277943,2659626773
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,James Justin,Leicester City,Aston Villa,1.5,176,Sportsbet,49,289,15192634,557277943,2659626765
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jayden Bogle,NA,NA,1.5,176,Sportsbet,49,289,15192634,557277943,2659626766
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ethan Ampadu,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626760
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Gabriel Gudmundsson,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626762
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ilia Gruev,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626763
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jaka Bijol,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626764
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Joe Rodon,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626768
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Pascal Struijk,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626771
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sam Byram,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626772
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sebastiaan Bornauw,NA,NA,1.5,201,Sportsbet,49,289,15192634,557277943,2659626774
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ollie Watkins,Aston Villa,Leeds United,2.5,36,Sportsbet,49,289,15192634,557277963,2659626663
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Tammy Abraham,NA,NA,2.5,56,Sportsbet,49,289,15192634,557277963,2659626666
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Morgan Rogers,Aston Villa,Leeds United,2.5,81,Sportsbet,49,289,15192634,557277963,2659626662
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Leon Bailey,Aston Villa,Leeds United,2.5,176,Sportsbet,49,289,15192634,557277963,2659626658
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Harvey Elliott,Liverpool,Aston Villa,2.5,201,Sportsbet,49,289,15192634,557277963,2659626654
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Harvey Elliott,Aston Villa,Leeds United,2.5,201,Sportsbet,49,289,15192634,557277963,2659626654
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Emiliano Buend<c3><ad>a,NA,NA,2.5,226,Sportsbet,49,289,15192634,557277963,2659626651
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Alysson Edward,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626647
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Amadou Onana,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626648
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Andres Garcia,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626649
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Douglas Luiz,Nottingham Forest,Aston Villa,2.5,251,Sportsbet,49,289,15192634,557277963,2659626650
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ezri Konsa,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626652
