match,player_name,line,over_price,market_name,agency,under_price,player_team
Brentford v Nottingham Forest,James McAtee,1.5,10,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,James McAtee,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,James McAtee,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,James McAtee,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Jimmy Sinclair,0.5,3.4,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Jimmy Sinclair,1.5,17,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Jimmy Sinclair,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Jimmy Sinclair,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Jimmy Sinclair,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Jordan Henderson,0.5,3.4,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Jordan Henderson,1.5,17,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Jordan Henderson,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Jordan Henderson,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Jordan Henderson,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kaye Furo,0.5,1.3,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kaye Furo,1.5,2.37,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kaye Furo,2.5,6,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kaye Furo,3.5,15,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kaye Furo,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Keane Lewis-Potter,0.5,1.83,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Keane Lewis-Potter,1.5,5.5,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Keane Lewis-Potter,2.5,19,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Keane Lewis-Potter,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Keane Lewis-Potter,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kevin Schade,0.5,1.53,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kevin Schade,1.5,3.5,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kevin Schade,2.5,11,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kevin Schade,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kevin Schade,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kristoffer Ajer,0.5,3.5,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kristoffer Ajer,1.5,19,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kristoffer Ajer,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kristoffer Ajer,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Kristoffer Ajer,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Lorenzo Lucca,0.5,1.61,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Lorenzo Lucca,1.5,4,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Lorenzo Lucca,2.5,13,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Lorenzo Lucca,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Lorenzo Lucca,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Mathias Jensen,0.5,3.25,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mathias Jensen,1.5,17,Player Shots On Target,Bet365,NA,Brentford
