match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Casemiro,Manchester United,Liverpool,0.5,1.25,Sportsbet,49,289,12570022,441605301,2147777226
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Diogo Dalot,Manchester United,Liverpool,0.5,1.57,Sportsbet,49,289,12570022,441605301,2147777232
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Kobbie Mainoo,Manchester United,Liverpool,0.5,1.4,Sportsbet,49,289,12570022,441605301,2147777241
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Matthijs de Ligt,Manchester United,Liverpool,0.5,1.72,Sportsbet,49,289,12570022,441605301,2147777229
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Noussair Mazraoui,Manchester United,Liverpool,0.5,1.72,Sportsbet,49,289,12570022,441605301,2147777233
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Lisandro Martínez,Manchester United,Liverpool,0.5,2.3,Sportsbet,49,289,12570022,441605301,2147777235
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Alexis Mac Allister,Liverpool,Manchester United,0.5,1.14,Sportsbet,49,289,12570022,441605301,2147777257
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Ibrahima Konaté,Liverpool,Manchester United,0.5,1.67,Sportsbet,49,289,12570022,441605301,2147777250
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Ryan Gravenberch,Liverpool,Manchester United,0.5,1.14,Sportsbet,49,289,12570022,441605301,2147777255
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Trent Alexander-Arnold,Liverpool,Manchester United,0.5,1.17,Sportsbet,49,289,12570022,441605301,2147777249
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Virgil van Dijk,Liverpool,Manchester United,0.5,1.36,Sportsbet,49,289,12570022,441605301,2147777242
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Andrew Robertson,Liverpool,Manchester United,0.5,2.1,Sportsbet,49,289,12570022,441605301,2147777244
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Alejandro Garnacho,Manchester United,Liverpool,1.5,1.3,Sportsbet,49,289,12570022,441605297,2147777721
Manchester United v Liverpool,Manchester United,Liverpool,Player Shots,Bruno Fernandes,Manchester United,Liverpool,1.5,1.4,Sportsbet,49,289,12570022,441605297,2147777708
