match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Erling Haaland,Manchester City,0.5,1.5,Pointsbet,Leicester City,2035649,77487199,37
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,D. Mubama,NA,0.5,2.2,Pointsbet,NA,2035649,77487199,49
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Ben Knight,NA,0.5,2.4,Pointsbet,NA,2035649,77487199,40
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Phil Foden,Manchester City,0.5,2.75,Pointsbet,Leicester City,2035649,77487199,38
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Kevin De Bruyne,Manchester City,0.5,3.2,Pointsbet,Leicester City,2035649,77487199,29
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,James McAtee,Manchester City,0.5,3.4,Pointsbet,Leicester City,2035649,77487199,45
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Savinho,Manchester City,0.5,3.4,Pointsbet,Leicester City,2035649,77487199,46
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Jérémy Doku,Manchester City,0.5,3.6,Pointsbet,Leicester City,2035649,77487199,41
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Jamie Vardy,Leicester City,0.5,3.8,Pointsbet,Manchester City,2035649,77487199,5
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Oscar Bobb,Manchester City,0.5,4,Pointsbet,Leicester City,2035649,77487199,44
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Jack Grealish,Manchester City,0.5,4.1,Pointsbet,Leicester City,2035649,77487199,32
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Patson Daka,Leicester City,0.5,4.3,Pointsbet,Manchester City,2035649,77487199,14
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Bernardo Silva,Manchester City,0.5,4.3,Pointsbet,Leicester City,2035649,77487199,33
Leicester City v Manchester City,Leicester City,Manchester City,Player Goals,Odsonne Edouard,Crystal Palace,0.5,4.5,Pointsbet,Leicester City,2035649,77487199,11
