home_team,away_team,market_name,player_name,line,over_price,under_price,agency,match
Sunderland,West Ham United,Player Saves,Alphonse Areola,2.5,1.8,1.8,Dabble,Sunderland v West Ham United
Sunderland,West Ham United,Player Saves,Robin Roefs,3,1.8,1.8,Dabble,Sunderland v West Ham United
Brighton & Hove Albion,Fulham,Player Saves,Bart Verbruggen,2.5,1.8,1.8,Dabble,Brighton & Hove Albion v Fulham
Brighton & Hove Albion,Fulham,Player Saves,Bernd Leno,3.5,1.8,1.8,Dabble,Brighton & Hove Albion v Fulham
Tottenham Hotspur,Burnley,Player Saves,Guglielmo Vicario,2,1.8,1.8,Dabble,Tottenham Hotspur v Burnley
Tottenham Hotspur,Burnley,Player Saves,Martin Dubravka,4,1.8,1.8,Dabble,Tottenham Hotspur v Burnley
Wolverhampton Wanderers,Manchester City,Player Saves,Jose Sa,4.5,1.89,NA,Dabble,Wolverhampton Wanderers v Manchester City
Wolverhampton Wanderers,Manchester City,Player Saves,Ederson,2.5,1.8,1.8,Dabble,Wolverhampton Wanderers v Manchester City
Chelsea,Crystal Palace,Player Saves,Robert Sanchez,2.5,1.8,1.8,Dabble,Chelsea v Crystal Palace
Chelsea,Crystal Palace,Player Saves,Dean Henderson,4,1.8,1.8,Dabble,Chelsea v Crystal Palace
Nottingham Forest,Brentford,Player Saves,Matz Sels,3,1.8,1.8,Dabble,Nottingham Forest v Brentford
Nottingham Forest,Brentford,Player Saves,Caoimhin Kelleher,3.5,1.8,1.8,Dabble,Nottingham Forest v Brentford
Manchester United,Arsenal,Player Saves,Andre Onana,3,1.8,1.8,Dabble,Manchester United v Arsenal
Manchester United,Arsenal,Player Saves,David Raya,2.5,1.8,1.8,Dabble,Manchester United v Arsenal
