match,home_team,away_team,market_name,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Leicester City v Chelsea,Leicester City,Chelsea,Match Goals,5.5,6.5,1.08,Sportsbet,49,289,12931176,462078713,2235062269,2235062268
Leicester City v Chelsea,Leicester City,Chelsea,Match Goals,6.5,12,1.02,Sportsbet,49,289,12931176,462078719,2235062282,2235062281
Leicester City v Chelsea,Leicester City,Chelsea,Match Goals,7.5,34,1.004,Sportsbet,49,289,12931176,462078610,2235061831,2235061830
Everton v Brentford,Everton,Brentford,Match Goals,0.5,1.02,12.5,Sportsbet,49,289,12931191,462080446,2235068041,2235068040
Everton v Brentford,Everton,Brentford,Match Goals,1.5,1.17,4.6,Sportsbet,49,289,12931191,462080448,2235068045,2235068044
Everton v Brentford,Everton,Brentford,Match Goals,2.5,1.68,2.1,Sportsbet,49,289,12931191,462080456,2235068061,2235068060
Everton v Brentford,Everton,Brentford,Match Goals,3.5,2.66,1.44,Sportsbet,49,289,12931191,462080458,2235068065,2235068064
Everton v Brentford,Everton,Brentford,Match Goals,4.5,5.2,1.14,Sportsbet,49,289,12931191,462080460,2235068069,2235068068
Everton v Brentford,Everton,Brentford,Match Goals,5.5,8.5,1.05,Sportsbet,49,289,12931191,462080462,2235068073,2235068072
Everton v Brentford,Everton,Brentford,Match Goals,6.5,14,1.01,Sportsbet,49,289,12931191,462080464,2235068077,2235068076
Everton v Brentford,Everton,Brentford,Match Goals,7.5,51,1.002,Sportsbet,49,289,12931191,462080379,2235068242,2235068241
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,0.5,1.02,14.25,Sportsbet,49,289,12931196,462080706,2235069583,2235069582
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,1.5,1.2,4.3,Sportsbet,49,289,12931196,462080708,2235069587,2235069586
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,2.5,1.69,2.08,Sportsbet,49,289,12931196,462080676,2235069603,2235069602
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,3.5,2.8,1.4,Sportsbet,49,289,12931196,462080678,2235069607,2235069606
