home_team,away_team,market_name,player_name,line,over_price,under_price,agency,match
Brentford,Manchester United,Player Passes Attempted,Luke Shaw passes-attempted,64.5,1.8,1.8,Dabble,Brentford v Manchester United
Brentford,Manchester United,Player Passes Attempted,Michael Kayode passes-attempted,34.5,1.8,1.8,Dabble,Brentford v Manchester United
Brentford,Manchester United,Player Passes Attempted,Yegor Yarmolyuk passes-attempted,46.5,1.89,NA,Dabble,Brentford v Manchester United
Brentford,Manchester United,Player Passes Attempted,Bruno Fernandes passes-attempted,72.5,1.89,NA,Dabble,Brentford v Manchester United
Brentford,Manchester United,Player Passes Attempted,Nathan Collins passes-attempted,46.5,1.8,1.8,Dabble,Brentford v Manchester United
Chelsea,Brighton & Hove Albion,Player Passes Attempted,Mois<c3><a9>s Caicedo,65.5,1.8,1.8,Dabble,Chelsea v Brighton & Hove Albion
Chelsea,Brighton & Hove Albion,Player Passes Attempted,Lewis Dunk passes-attempted,52.5,1.8,1.8,Dabble,Chelsea v Brighton & Hove Albion
Nottingham Forest,Sunderland,Player Passes Attempted,Noah Sadiki passes-attempted,35.5,1.8,1.8,Dabble,Nottingham Forest v Sunderland
Nottingham Forest,Sunderland,Player Passes Attempted,Elliot Anderson passes-attempted,86.5,1.89,NA,Dabble,Nottingham Forest v Sunderland
Nottingham Forest,Sunderland,Player Passes Attempted,Nikola Milenković passes-attempted,58.5,1.8,1.8,Dabble,Nottingham Forest v Sunderland
Nottingham Forest,Sunderland,Player Passes Attempted,Trai Hume passes-attempted,39.5,1.89,NA,Dabble,Nottingham Forest v Sunderland
Nottingham Forest,Sunderland,Player Passes Attempted,Neco Williams passes-attempted,50.5,1.89,NA,Dabble,Nottingham Forest v Sunderland
Nottingham Forest,Sunderland,Player Passes Attempted,Granit Xhaka passes-attempted,59.5,1.89,NA,Dabble,Nottingham Forest v Sunderland
Tottenham Hotspur,Wolverhampton Wanderers,Player Passes Attempted,João Gomes passes-attempted,50.5,1.89,NA,Dabble,Tottenham Hotspur v Wolverhampton Wanderers
Tottenham Hotspur,Wolverhampton Wanderers,Player Passes Attempted,Pedro Porro passes-attempted,58.5,1.89,NA,Dabble,Tottenham Hotspur v Wolverhampton Wanderers
Tottenham Hotspur,Wolverhampton Wanderers,Player Passes Attempted,Micky van de Ven passes-attempted,83.5,1.89,NA,Dabble,Tottenham Hotspur v Wolverhampton Wanderers
Tottenham Hotspur,Wolverhampton Wanderers,Player Passes Attempted,Jean Bellegarde passes-attempted,30.5,1.8,1.8,Dabble,Tottenham Hotspur v Wolverhampton Wanderers
Tottenham Hotspur,Wolverhampton Wanderers,Player Passes Attempted,Joao Palhinha passes-attempted,63.5,1.8,1.8,Dabble,Tottenham Hotspur v Wolverhampton Wanderers
Tottenham Hotspur,Wolverhampton Wanderers,Player Passes Attempted,Toti passes-attempted,63.5,1.89,NA,Dabble,Tottenham Hotspur v Wolverhampton Wanderers
