match,player_name,line,over_price,under_price,market_name,agency,player_team
Manchester City v Tottenham Hotspur,Abduqodir Khusanov,0.5,1.83,NA,Player Shots,Bet365,NA
Manchester City v Tottenham Hotspur,Abduqodir Khusanov,1.5,5,NA,Player Shots,Bet365,NA
Manchester City v Tottenham Hotspur,Abduqodir Khusanov,2.5,15,NA,Player Shots,Bet365,NA
Manchester City v Tottenham Hotspur,Abduqodir Khusanov,3.5,NA,NA,Player Shots,Bet365,NA
Manchester City v Tottenham Hotspur,Archie Gray,0.5,2.25,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Archie Gray,1.5,8,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Archie Gray,2.5,21,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Archie Gray,3.5,NA,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Ben Davies,0.5,3,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Ben Davies,1.5,11,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Ben Davies,2.5,NA,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Ben Davies,3.5,NA,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Bernardo Silva,0.5,1.5,2.5,Player Shots,Bet365,Manchester City
Manchester City v Tottenham Hotspur,Bernardo Silva,0.5,1.5,NA,Player Shots,Bet365,Manchester City
Manchester City v Tottenham Hotspur,Bernardo Silva,1.5,3.25,NA,Player Shots,Bet365,Manchester City
Manchester City v Tottenham Hotspur,Bernardo Silva,2.5,8,NA,Player Shots,Bet365,Manchester City
Manchester City v Tottenham Hotspur,Bernardo Silva,3.5,21,NA,Player Shots,Bet365,Manchester City
Manchester City v Tottenham Hotspur,Brennan Johnson,0.5,1.33,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Brennan Johnson,1.5,2.5,1.5,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Brennan Johnson,1.5,2.5,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Brennan Johnson,2.5,5.5,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Brennan Johnson,3.5,15,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Cristian Romero,0.5,1.9,1.8,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Cristian Romero,0.5,1.9,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Cristian Romero,1.5,5.5,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Cristian Romero,2.5,17,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Cristian Romero,3.5,NA,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Destiny Udogie,0.5,2.2,NA,Player Shots,Bet365,Tottenham Hotspur
Manchester City v Tottenham Hotspur,Destiny Udogie,1.5,6.5,NA,Player Shots,Bet365,Tottenham Hotspur
