match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Marc Guéhi,Crystal Palace,Liverpool,69.5,2.65,Sportsbet,49,289,12731559,455059101,2204989670
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Jefferson Lerma,Crystal Palace,Liverpool,69.5,3.5,Sportsbet,49,289,12731559,455059101,2204989663
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Trevoh Chalobah,Chelsea,Crystal Palace,69.5,4.2,Sportsbet,49,289,12731559,455059101,2204989665
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Joel Ward,Crystal Palace,Liverpool,69.5,5.1,Sportsbet,49,289,12731559,455059101,2204989662
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Maxence Lacroix,Crystal Palace,Liverpool,69.5,5.1,Sportsbet,49,289,12731559,455059101,2204989671
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Adam Wharton,Crystal Palace,Liverpool,69.5,12,Sportsbet,49,289,12731559,455059101,2204989675
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Daichi Kamada,Crystal Palace,Liverpool,69.5,14,Sportsbet,49,289,12731559,455059101,2204989669
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Tyrick Mitchell,Crystal Palace,Liverpool,69.5,14,Sportsbet,49,289,12731559,455059101,2204989673
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Nathaniel Clyne,Crystal Palace,Liverpool,69.5,19,Sportsbet,49,289,12731559,455059101,2204989659
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Alexis Mac Allister,Liverpool,Crystal Palace,69.5,1.24,Sportsbet,49,289,12731559,455059101,2204989693
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Andrew Robertson,Liverpool,Crystal Palace,69.5,1.51,Sportsbet,49,289,12731559,455059101,2204989680
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Conor Bradley,Liverpool,Crystal Palace,69.5,1.38,Sportsbet,49,289,12731559,455059101,2204989697
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Dominik Szoboszlai,Liverpool,Crystal Palace,69.5,1.31,Sportsbet,49,289,12731559,455059101,2204989688
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Ibrahima Konaté,Liverpool,Crystal Palace,69.5,1.14,Sportsbet,49,289,12731559,455059101,2204989687
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Jarell Quansah,Liverpool,Crystal Palace,69.5,1.18,Sportsbet,49,289,12731559,455059101,2204989696
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Joe Gomez,Liverpool,Crystal Palace,69.5,1.11,Sportsbet,49,289,12731559,455059101,2204989681
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Trent Alexander-Arnold,Liverpool,Crystal Palace,69.5,1.37,Sportsbet,49,289,12731559,455059101,2204989686
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Tyler Morton,NA,NA,69.5,1.85,Sportsbet,49,289,12731559,455059101,2204989695
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Virgil van Dijk,Liverpool,Crystal Palace,69.5,1.07,Sportsbet,49,289,12731559,455059101,2204989678
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Wataru Endo,Liverpool,Crystal Palace,69.5,1.79,Sportsbet,49,289,12731559,455059101,2204989685
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Cody Gakpo,Liverpool,Crystal Palace,69.5,2.2,Sportsbet,49,289,12731559,455059101,2204989689
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Curtis Jones,Liverpool,Crystal Palace,69.5,2.45,Sportsbet,49,289,12731559,455059101,2204989690
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Ryan Gravenberch,Liverpool,Crystal Palace,69.5,2.95,Sportsbet,49,289,12731559,455059101,2204989692
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Konstantinos Tsimikas,Liverpool,Crystal Palace,69.5,3.35,Sportsbet,49,289,12731559,455059101,2204989683
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Luis Díaz,Liverpool,Crystal Palace,69.5,15,Sportsbet,49,289,12731559,455059101,2204989691
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Marc Guéhi,Crystal Palace,Liverpool,89.5,9.25,Sportsbet,49,289,12731559,455059102,2204989709
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Jefferson Lerma,Crystal Palace,Liverpool,89.5,14,Sportsbet,49,289,12731559,455059102,2204989702
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Ibrahima Konaté,Liverpool,Crystal Palace,89.5,1.9,Sportsbet,49,289,12731559,455059102,2204989726
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Joe Gomez,Liverpool,Crystal Palace,89.5,1.79,Sportsbet,49,289,12731559,455059102,2204989720
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Virgil van Dijk,Liverpool,Crystal Palace,89.5,1.56,Sportsbet,49,289,12731559,455059102,2204989717
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Alexis Mac Allister,Liverpool,Crystal Palace,89.5,2.3,Sportsbet,49,289,12731559,455059102,2204989732
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Conor Bradley,Liverpool,Crystal Palace,89.5,2.95,Sportsbet,49,289,12731559,455059102,2204989736
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Dominik Szoboszlai,Liverpool,Crystal Palace,89.5,2.6,Sportsbet,49,289,12731559,455059102,2204989727
Crystal Palace v Liverpool,Crystal Palace,Liverpool,Player Attempted Passes,Jarell Quansah,Liverpool,Crystal Palace,89.5,2.05,Sportsbet,49,289,12731559,455059102,2204989735
