match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Mats Wieffer,Brighton & Hove Albion,Everton,0.5,2.6,Sportsbet,49,289,15077119,553479221,2640809248
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Pascal Gross,NA,NA,0.5,2.8,Sportsbet,49,289,15077119,553479221,2640809238
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Yankuba Minteh,Brighton & Hove Albion,Everton,0.5,2.88,Sportsbet,49,289,15077119,553479221,2640809256
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Charalampos Kostoulas,Brighton & Hove Albion,Everton,0.5,3.75,Sportsbet,49,289,15077119,553479221,2640809259
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Diego Gomez,NA,NA,0.5,3.75,Sportsbet,49,289,15077119,553479221,2640809252
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Georginio Rutter,Brighton & Hove Albion,Everton,0.5,3.4,Sportsbet,49,289,15077119,553479221,2640809246
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Jack Hinshelwood,Brighton & Hove Albion,Everton,0.5,3.25,Sportsbet,49,289,15077119,553479221,2640809253
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Maxim De Cuyper,Brighton & Hove Albion,Everton,0.5,3.6,Sportsbet,49,289,15077119,553479221,2640809249
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Solly March,Brighton & Hove Albion,Everton,0.5,3.4,Sportsbet,49,289,15077119,553479221,2640809241
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Tom Watson,Brighton & Hove Albion,Everton,0.5,3.75,Sportsbet,49,289,15077119,553479221,2640809257
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Brajan Gruda,Brighton & Hove Albion,Everton,0.5,4,Sportsbet,49,289,15077119,553479221,2640809258
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Danny Welbeck,Brighton & Hove Albion,Everton,0.5,4.2,Sportsbet,49,289,15077119,553479221,2640809242
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Kaoru Mitoma,Brighton & Hove Albion,Everton,0.5,4,Sportsbet,49,289,15077119,553479221,2640809250
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Ferdi Kadioglu,NA,NA,0.5,5,Sportsbet,49,289,15077119,553479221,2640809245
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,James Milner,Brighton & Hove Albion,Everton,0.5,5,Sportsbet,49,289,15077119,553479221,2640809239
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Jo<c3><ab>l Veltman,NA,NA,0.5,5,Sportsbet,49,289,15077119,553479221,2640809243
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Yasin Ayari,Brighton & Hove Albion,Everton,0.5,5,Sportsbet,49,289,15077119,553479221,2640809251
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Olivier Boscagli,Brighton & Hove Albion,Everton,0.5,6,Sportsbet,49,289,15077119,553479221,2640809244
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Jan Paul van Hecke,Brighton & Hove Albion,Everton,0.5,7.5,Sportsbet,49,289,15077119,553479221,2640809247
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Carlos Baleba,Brighton & Hove Albion,Everton,0.5,8,Sportsbet,49,289,15077119,553479221,2640809255
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Lewis Dunk,Brighton & Hove Albion,Everton,0.5,9,Sportsbet,49,289,15077119,553479221,2640809240
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Charly Alcaraz,NA,NA,0.5,4.33,Sportsbet,49,289,15077119,553479221,2640809273
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Dwight McNeil,Everton,Brighton & Hove Albion,0.5,4,Sportsbet,49,289,15077119,553479221,2640809267
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Harrison Armstrong,Everton,Brighton & Hove Albion,0.5,5.5,Sportsbet,49,289,15077119,553479221,2640809277
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Iliman Ndiaye,Everton,Brighton & Hove Albion,0.5,5,Sportsbet,49,289,15077119,553479221,2640809266
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,James Garner,Everton,Brighton & Hove Albion,0.5,5.5,Sportsbet,49,289,15077119,553479221,2640809268
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Kiernan Dewsbury-Hall,Everton,Brighton & Hove Albion,0.5,5,Sportsbet,49,289,15077119,553479221,2640809264
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Nathan Patterson,Everton,Brighton & Hove Albion,0.5,6,Sportsbet,49,289,15077119,553479221,2640809271
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Tyler Dibling,Everton,Brighton & Hove Albion,0.5,6,Sportsbet,49,289,15077119,553479221,2640809276
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Tyler Dibling,Southampton,Brighton & Hove Albion,0.5,6,Sportsbet,49,289,15077119,553479221,2640809276
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Idrissa Gueye,Everton,Brighton & Hove Albion,0.5,7,Sportsbet,49,289,15077119,553479221,2640809263
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Merlin Rohl,NA,NA,0.5,7.5,Sportsbet,49,289,15077119,553479221,2640809274
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Beto,Everton,Brighton & Hove Albion,0.5,8.5,Sportsbet,49,289,15077119,553479221,2640809270
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Tim Iroegbunam,Everton,Brighton & Hove Albion,0.5,8,Sportsbet,49,289,15077119,553479221,2640809272
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Thierno Barry,Everton,Brighton & Hove Albion,0.5,9,Sportsbet,49,289,15077119,553479221,2640809279
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Vitaliy Mykolenko,Everton,Brighton & Hove Albion,0.5,9,Sportsbet,49,289,15077119,553479221,2640809265
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Adam Aznou,Everton,Brighton & Hove Albion,0.5,12,Sportsbet,49,289,15077119,553479221,2640809278
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,James Tarkowski,Everton,Brighton & Hove Albion,0.5,12,Sportsbet,49,289,15077119,553479221,2640809260
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Michael Keane,Everton,Brighton & Hove Albion,0.5,12,Sportsbet,49,289,15077119,553479221,2640809262
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,S<c3><a9>amus Coleman,NA,NA,0.5,12,Sportsbet,49,289,15077119,553479221,2640809261
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Jake O'Brien,Everton,Brighton & Hove Albion,0.5,13,Sportsbet,49,289,15077119,553479221,2640809275
Brighton & Hove Albion v Everton,Brighton & Hove Albion,Everton,Player Assists,Jarrad Branthwaite,Everton,Brighton & Hove Albion,0.5,13,Sportsbet,49,289,15077119,553479221,2640809269
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Anton Stach,NA,NA,0.5,4.33,Sportsbet,49,289,15077137,553482650,2640831502
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Brenden Aaronson,NA,NA,0.5,5.5,Sportsbet,49,289,15077137,553482650,2640831498
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Daniel James,NA,NA,0.5,5.5,Sportsbet,49,289,15077137,553482650,2640831489
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Facundo Buonanotte,Chelsea,Leeds United,0.5,5.5,Sportsbet,49,289,15077137,553482650,2640831503
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Jayden Bogle,NA,NA,0.5,5.5,Sportsbet,49,289,15077137,553482650,2640831491
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Noah Okafor,NA,NA,0.5,5.5,Sportsbet,49,289,15077137,553482650,2640831496
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,James Justin,Leicester City,Leeds United,0.5,6.5,Sportsbet,49,289,15077137,553482650,2640831487
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Wilfried Gnonto,NA,NA,0.5,6,Sportsbet,49,289,15077137,553482650,2640831504
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Ilia Gruev,NA,NA,0.5,7,Sportsbet,49,289,15077137,553482650,2640831500
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Joel Piroe,NA,NA,0.5,7.5,Sportsbet,49,289,15077137,553482650,2640831499
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Sam Byram,NA,NA,0.5,7.5,Sportsbet,49,289,15077137,553482650,2640831485
Leeds United v Arsenal,Leeds United,Arsenal,Player Assists,Sean Longstaff,NA,NA,0.5,7,Sportsbet,49,289,15077137,553482650,2640831493
