match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Mohamed Salah,Liverpool,Manchester United,0.5,4.2,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Andrew Robertson,Liverpool,Manchester United,0.5,3.75,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Casemiro,Manchester United,Liverpool,0.5,7,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Antony,Manchester United,Liverpool,0.5,5.4,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Cody Gakpo,Liverpool,Manchester United,0.5,5.2,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Marcus Rashford,Manchester United,Liverpool,0.5,6.2,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Kobbie Mainoo,Manchester United,Liverpool,0.5,7.5,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Bruno Fernandes,Manchester United,Liverpool,0.5,4.75,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Trent Alexander-Arnold,Liverpool,Manchester United,0.5,3.35,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Christian Eriksen,Manchester United,Liverpool,0.5,4.4,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Amad Diallo,Manchester United,Liverpool,0.5,5.25,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Diogo Dalot,Manchester United,Liverpool,0.5,7.25,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Dominik Szoboszlai,Liverpool,Manchester United,0.5,4.6,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Alexis Mac Allister,Liverpool,Manchester United,0.5,5.75,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Diogo Jota,Liverpool,Manchester United,0.5,4.6,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Darwin Núñez,Liverpool,Manchester United,0.5,4.75,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Joshua Zirkzee,Manchester United,Liverpool,0.5,6.6,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Harvey Elliott,Liverpool,Manchester United,0.5,5.2,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Alejandro Garnacho,Manchester United,Liverpool,0.5,4.75,Neds
Manchester United v Liverpool,Manchester United,Liverpool,Player Assists,Luis Díaz,Liverpool,Manchester United,0.5,4.4,Neds
