match,start_time,market_name,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Jorge Cuenca,Fulham,Chelsea,0.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Jorge Cuenca,Fulham,Chelsea,1.5,301,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Jorge Cuenca,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Jorrel Hato,Chelsea,Fulham,0.5,10,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Jorrel Hato,Chelsea,Fulham,1.5,151,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Jorrel Hato,Chelsea,Fulham,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Josh Acheampong,Chelsea,Fulham,0.5,10,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Josh Acheampong,Chelsea,Fulham,1.5,151,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Josh Acheampong,Chelsea,Fulham,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Joshua King,NA,NA,0.5,6,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Joshua King,NA,NA,1.5,51,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Joshua King,NA,NA,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Kenny Tete,Fulham,Chelsea,0.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Kenny Tete,Fulham,Chelsea,1.5,301,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Kenny Tete,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Liam Delap,Chelsea,Fulham,0.5,2.3,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Liam Delap,Chelsea,Fulham,1.5,8.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Liam Delap,Chelsea,Fulham,2.5,34,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Malo Gusto,Chelsea,Fulham,0.5,10,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Malo Gusto,Chelsea,Fulham,1.5,151,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Malo Gusto,Chelsea,Fulham,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Marc Cucurella,Chelsea,Fulham,0.5,6,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Marc Cucurella,Chelsea,Fulham,1.5,51,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Marc Cucurella,Chelsea,Fulham,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Mois<c3><a9>s Caicedo,NA,NA,0.5,8.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Mois<c3><a9>s Caicedo,NA,NA,1.5,101,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Mois<c3><a9>s Caicedo,NA,NA,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Pedro Neto,Chelsea,Fulham,0.5,3.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Pedro Neto,Chelsea,Fulham,1.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Pedro Neto,Chelsea,Fulham,2.5,101,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Ra<c3><ba>l Jim<c3><a9>nez,NA,NA,0.5,3.7,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Ra<c3><ba>l Jim<c3><a9>nez,NA,NA,1.5,17,TAB
