player_name
E. Ferguson
J. Zirkzee
Welbeck
R. Højlund
G. Rutter
B. Fernandes
Rashford
K. Mitoma
S. Adingra
J. Enciso
Y. Minteh
J. Sarmiento
Mctominay
Sancho
B. Gruda
A. Cozier-Duberry
Mount
J. Moder
Y. Ayari
M. Wieffer
J. Hinshelwood
Eriksen
J. Weir
Dunk
H. Mejbri
Milner
C. Baleba
K. Mainoo
P. Estupiñán
B. Gilmour
A. Webster
Dahoud
V. Barco
T. Lamptey
O. Offiah
De Ligt
J. Van Hecke
E. Turns
Dalot
Veltman
Mazraoui
Shaw
L. Yoro
J. Evans
Lindelöf
R. Jiménez
Vardy
Smith-Rowe
Daka
H. Wilson
Mavididi
T. Cannon
Traoré
Iwobi
A. Pereira
B. Reid
K. Mcateer
Lukic
F. Buonanotte
R. Sessegnon
I. Fatawu
Cairney
Reed
Ndidi
R. Pereira
Castagne
Tete
C. Bassey
Winks
Vestergaard
Mbabu
I. Diop
A. Robinson
Coady
J. Justin
W. Faes
Skipp
B. Nelson
Soumaré
L. Thomas
Okoli
Choudhury
V. Kristansen
Mateta
Édouard
Eze
I. Sarr
Füllkrug
Ings
Bowen
Antonio
D. Kamada
J. Ayew
M. Kudus
C. Summerville
Cornet
Schlupp
Paqueta
Ward-Prowse
Soucek
A. Irving
Lerma
N. Ahamada
A. Wharton
W. Hughes
D. Muñoz
C. Doucoure
J. Andersen
G. Rodríguez
E. Álvarez
Holding
C. Richards
T. Mitchell
Mavropanos
Aguerd
Zouma
M. Kilman
M. Guehi
J. Ward
Clyne
J. Todibo
Cresswell
Coufal
Wan-Bissaka
P. Onuachu
Awoniyi
A. Armstrong
R. Stewart
Brereton
Wood
C. Archer
Hwang Ui-Jo
Dennis
João Pedro Silva
J. Bowler
Gibbs-White
Hudson-Odoi
R. Sosa
C. Alcaraz
S. Edozie
K. Sulemana
A. Elanga
A. Mighten
W. Smallbone
J. Aribo
E. Anderson
Lallana
N. Domínguez
Yates
Shelvey
Sangaré
Y. Sugawara
Downes
Walker-Peters
S. Charles
Manning
Milenkovic
N. Williams
A. Moreno
A. Bella-Kotchap
Boly
H. Toffolo
Worrall
Bednarek
T. Harwood-Bellis
J. Stephens
